transaction_date,ticker,executive,executive_title,security_type,acquisition_or_disposal,shares,share_price
2014-05-05,MSFT,"GATES, WILLIAM H III",Director,Common Stock,D,3650000.0,39.4458
2014-05-02,MSFT,"GATES, WILLIAM H III",Director,Common Stock,D,4030000.0,39.8616
2013-09-12,MSFT,"THOMPSON, JOHN WENDELL",Director,Restricted Stock Units,A,51.0,0.0
2009-08-10,MSFT,"GATES, WILLIAM H III",Director,Common Stock,D,2000000.0,23.4021
2009-08-07,MSFT,"GATES, WILLIAM H III",Director,Common Stock,D,2000000.0,23.6878
2009-08-06,MSFT,"GATES, WILLIAM H III",Director,Common Stock,D,1000000.0,23.6961
2009-08-05,MSFT,"GATES, WILLIAM H III",Director,Common Stock,D,1000000.0,24.009
2009-08-04,MSFT,"GATES, WILLIAM H III",Director,Common Stock,D,1000000.0,23.6433
2009-08-04,MSFT,"LIDDELL, CHRISTOPHER P",Chief Financial Officer,Common Stock,D,20000.0,23.6194
2009-08-03,MSFT,"GATES, WILLIAM H III",Director,Common Stock,D,2000000.0,23.742
2009-07-31,MSFT,"GATES, WILLIAM H III",Director,Common Stock,D,1000000.0,23.781
2009-07-30,MSFT,"GATES, WILLIAM H III",Director,Common Stock,D,2000000.0,24.1749
2009-06-18,MSFT,"DUBLON, DINA",Director,Restricted Stock Units,A,8.0,0.0
2009-06-18,MSFT,"GILMARTIN, RAYMOND V",Director,Restricted Stock Units,A,24.0,0.0
2009-06-18,MSFT,"DUBLON, DINA",Director,Restricted Stock Units,A,82.0,0.0
2009-06-18,MSFT,"HASTINGS, REED",Director,Restricted Stock Units,A,101.0,0.0
2009-06-18,MSFT,"CASH, JAMES I",Director,Restricted Stock Units,A,90.0,0.0
2009-06-18,MSFT,"NOSKI, CHARLES H",Director,Restricted Stock Units,A,166.0,0.0
2009-06-01,MSFT,"LIDDELL, CHRISTOPHER P",Chief Financial Officer,Common Stock,D,20000.0,21.29
2009-05-22,MSFT,"MARQUARDT, DAVID F",Director,Common Stock,D,22500.0,20.0
2009-05-21,MSFT,"MARQUARDT, DAVID F",Director,Common Stock,D,7500.0,20.01
2009-05-20,MSFT,"MARQUARDT, DAVID F",Director,Common Stock,D,10000.0,20.36
2009-05-20,MSFT,"MARQUARDT, DAVID F",Director,Common Stock,D,10000.0,20.57
2009-05-19,MSFT,"MARQUARDT, DAVID F",Director,Common Stock,D,30000.0,20.38
2009-05-19,MSFT,"MARQUARDT, DAVID F",Director,Common Stock,D,20000.0,20.42
2009-05-18,MSFT,"CASH, JAMES I",Director,Restricted Stock Units,A,1456.0,0.0
2009-05-18,MSFT,"HASTINGS, REED",Director,Restricted Stock Units,A,2427.0,0.0
2009-05-18,MSFT,"GILMARTIN, RAYMOND V",Director,Common Stock,A,1456.0,0.0
2009-05-18,MSFT,"DUBLON, DINA",Director,Restricted Stock Units,A,1456.0,0.0
2009-05-18,MSFT,"GATES, WILLIAM H III",Director,Common Stock,A,1456.0,0.0
2009-05-18,MSFT,"PANKE, HELMUT",Director,Common Stock,A,1456.0,0.0
2009-05-18,MSFT,"NOSKI, CHARLES H",Director,Restricted Stock Units,A,2669.0,0.0
2009-05-18,MSFT,"MARQUARDT, DAVID F",Director,Common Stock,A,1456.0,0.0
2009-05-18,MSFT,"KLAWE, MARIA",Director,Common Stock,A,1161.0,0.0
2009-05-12,MSFT,"MARQUARDT, DAVID F",Director,Common Stock,D,100000.0,20.0
2009-05-12,MSFT,"GATES, WILLIAM H III",Director,Common Stock,D,3000000.0,19.7871
2009-05-11,MSFT,"GATES, WILLIAM H III",Director,Common Stock,D,3000000.0,19.4437
2009-05-08,MSFT,"GATES, WILLIAM H III",Director,Common Stock,D,3000000.0,19.4291
2009-05-07,MSFT,"GATES, WILLIAM H III",Director,Common Stock,D,1000000.0,19.5482
2009-05-06,MSFT,"GATES, WILLIAM H III",Director,Common Stock,D,2000000.0,19.8467
2009-05-05,MSFT,"GATES, WILLIAM H III",Director,Common Stock,D,1000000.0,19.8881
2009-05-04,MSFT,"GATES, WILLIAM H III",Director,Common Stock,D,2000000.0,20.1559
2009-05-01,MSFT,"BROD, FRANK H",Chief Accounting Officer,Common Stock,D,1852.0,20.24
2009-05-01,MSFT,"GATES, WILLIAM H III",Director,Common Stock,D,3000000.0,19.9989
2009-04-30,MSFT,"GATES, WILLIAM H III",Director,Common Stock,D,1000000.0,20.7794
2009-04-29,MSFT,"GATES, WILLIAM H III",Director,Common Stock,D,1000000.0,20.4601
2009-04-29,MSFT,"LIDDELL, CHRISTOPHER P",Chief Financial Officer,Common Stock,D,6600.0,20.67
