contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
AAPL260204P00280000,AAPL,2026-02-04,280.00,put,3.35,3.62,3.50,5,3.75,37,5920,1,2026-02-04,0.19048,-0.89440,0.06623,-0.22665,0.02642,-0.00687
AAPL260204C00282500,AAPL,2026-02-04,282.50,call,0.01,0.01,0.00,0,0.01,422,36797,2425,2026-02-04,0.18073,0.01197,0.01192,-0.04110,0.00451,0.00009
AAPL260204P00282500,AAPL,2026-02-04,282.50,put,5.45,6.10,6.00,14,6.20,2,291,1,2026-02-04,0.26853,-0.93522,0.03254,-0.21935,0.01830,-0.00725
AAPL260204C00285000,AAPL,2026-02-04,285.00,call,0.01,0.01,0.00,0,0.01,92,22278,2285,2026-02-04,0.23926,0.00806,0.00637,-0.03840,0.00319,0.00006
AAPL260204P00285000,AAPL,2026-02-04,285.00,put,7.75,8.60,8.50,6,8.70,5,28,0,2026-02-04,0.35633,-0.94637,0.02114,-0.25420,0.01578,-0.00740
AAPL260204C00287500,AAPL,2026-02-04,287.50,call,0.01,0.01,0.00,0,0.01,33,2164,181,2026-02-04,0.29780,0.00637,0.00416,-0.03881,0.00259,0.00005
AAPL260204P00287500,AAPL,2026-02-04,287.50,put,9.95,11.10,11.00,1,11.20,3,6,0,2026-02-04,0.43438,-0.95559,0.01492,-0.26732,0.01357,-0.00754
AAPL260204C00290000,AAPL,2026-02-04,290.00,call,0.01,0.01,0.00,0,0.01,21,669,565,2026-02-04,0.35633,0.00549,0.00305,-0.04069,0.00228,0.00004
AAPL260204P00290000,AAPL,2026-02-04,290.00,put,11.45,13.57,13.45,2,13.70,11,20,0,2026-02-04,0.49292,-0.96655,0.01044,-0.23755,0.01078,-0.00769
AAPL260204C00295000,AAPL,2026-02-04,295.00,call,0.03,0.01,0.00,0,0.01,158,59,478,2026-02-04,0.47340,0.00468,0.00199,-0.04681,0.00197,0.00004
